sector,budget_lkr,monthly_yield_kg,employees,experience_years,product
kithul,415000,450,3,1.8,Kithul Jaggery
kithul,750000,750,4,4.8,Kithul Flour
coconut,3910000,5950,8,2.3,Desiccated Coconut
palmyrah,410000,450,3,5.2,Palmyrah Sugar
coconut,225000,700,3,0.7,Coconut Chips
kithul,295000,850,3,3.0,Kithul Treacle
palmyrah,90000,400,3,4.7,Palmyrah Jaggery
palmyrah,360000,1750,2,5.3,Palmyrah Treacle
coconut,925000,7450,3,2.1,Virgin Coconut Oil
kithul,375000,1300,2,6.6,Kithul Flour
kithul,260000,500,3,1.5,Kithul Treacle
coconut,645000,1900,4,4.0,Coconut Flour
palmyrah,575000,1600,2,7.0,Palmyrah Sugar
coconut,300000,550,2,2.5,Coconut Chips
coconut,2195000,8000,3,5.0,Virgin Coconut Oil
palmyrah,380000,650,2,1.6,Palmyrah Treacle
palmyrah,170000,1400,2,4.3,Palmyrah Jaggery
coconut,90000,950,2,0.2,Coconut Chips
palmyrah,450000,1350,3,2.5,Palmyrah Sugar
coconut,2080000,7600,3,4.5,Virgin Coconut Oil
palmyrah,470000,450,2,6.8,Palmyrah Sugar
coconut,3095000,4000,12,7.5,Desiccated Coconut
palmyrah,245000,1800,3,2.7,Palmyrah Treacle
coconut,605000,2500,2,2.5,Coconut Flour
kithul,530000,1100,4,5.4,Kithul Jaggery
palmyrah,415000,750,4,1.7,Palmyrah Treacle
coconut,3815000,12100,7,4.9,Desiccated Coconut
coconut,190000,900,3,2.1,Coconut Chips
coconut,585000,3700,3,4.6,Coconut Milk
kithul,560000,1300,5,2.3,Kithul Flour
kithul,210000,400,3,3.4,Kithul Treacle
coconut,1085000,5550,3,2.9,Coconut Milk
kithul,135000,350,1,0.2,Kithul Treacle
palmyrah,425000,1800,3,5.9,Palmyrah Sugar
coconut,765000,3550,4,6.2,Virgin Coconut Oil
kithul,345000,800,1,2.3,Kithul Treacle
coconut,1550000,6750,5,4.8,Desiccated Coconut
kithul,530000,700,2,4.7,Kithul Jaggery
kithul,625000,2350,2,5.7,Kithul Flour
kithul,110000,600,2,3.4,Kithul Treacle
coconut,2175000,11350,7,4.1,Desiccated Coconut
palmyrah,280000,1650,4,5.9,Palmyrah Sugar
kithul,245000,1150,4,2.7,Kithul Jaggery
coconut,3950000,5250,7,4.0,Desiccated Coconut
coconut,2105000,6100,4,5.0,Virgin Coconut Oil
palmyrah,470000,1050,4,5.0,Palmyrah Treacle
kithul,135000,1000,3,2.6,Kithul Treacle
kithul,405000,2250,4,2.0,Kithul Flour
kithul,210000,1050,2,5.2,Kithul Jaggery
palmyrah,105000,450,1,3.7,Palmyrah Jaggery
palmyrah,495000,800,3,2.2,Palmyrah Treacle
coconut,310000,2650,4,1.7,Coconut Flour
coconut,590000,4000,2,3.5,Coconut Flour
palmyrah,275000,1050,4,5.9,Palmyrah Sugar
kithul,175000,2100,2,5.5,Kithul Jaggery
coconut,380000,1550,2,4.8,Coconut Flour
coconut,300000,1400,3,0.9,Coconut Chips
coconut,1995000,4100,4,4.3,Virgin Coconut Oil
palmyrah,495000,2050,3,5.7,Palmyrah Treacle
coconut,1365000,7100,3,5.4,Virgin Coconut Oil
coconut,1360000,2600,5,7.2,Virgin Coconut Oil
coconut,145000,1950,1,2.1,Coconut Chips
kithul,245000,1200,2,4.4,Kithul Jaggery
coconut,1190000,2700,5,2.4,Coconut Milk
kithul,575000,1000,3,5.3,Kithul Flour
palmyrah,320000,600,3,0.3,Palmyrah Jaggery
palmyrah,310000,1100,1,1.1,Palmyrah Jaggery
coconut,1175000,5950,5,4.5,Virgin Coconut Oil
kithul,320000,1050,1,3.9,Kithul Treacle
palmyrah,615000,1300,3,5.1,Palmyrah Sugar
kithul,735000,1350,4,4.3,Kithul Flour
coconut,480000,1350,4,2.2,Coconut Flour
coconut,285000,1950,2,0.8,Coconut Chips
coconut,645000,3900,3,2.0,Coconut Flour
coconut,650000,3650,4,2.4,Coconut Flour
coconut,540000,3000,3,3.9,Coconut Milk
coconut,1635000,5800,6,9.1,Desiccated Coconut
kithul,235000,850,2,2.2,Kithul Treacle
kithul,575000,2150,5,3.8,Kithul Flour
coconut,730000,3400,4,3.3,Coconut Milk
kithul,175000,1900,3,6.4,Kithul Jaggery
palmyrah,310000,350,1,3.1,Palmyrah Jaggery
coconut,1220000,3500,3,3.7,Virgin Coconut Oil
coconut,920000,3200,5,1.6,Coconut Milk
kithul,530000,1100,2,3.8,Kithul Jaggery
coconut,1440000,4450,3,2.2,Virgin Coconut Oil
palmyrah,140000,300,1,0.9,Palmyrah Jaggery
coconut,520000,2650,3,4.9,Coconut Flour
kithul,605000,600,5,5.0,Kithul Flour
palmyrah,95000,500,3,3.8,Palmyrah Jaggery
palmyrah,375000,650,4,2.5,Palmyrah Treacle
coconut,235000,450,2,0.7,Coconut Chips
coconut,100000,1150,1,0.3,Coconut Chips
coconut,720000,7850,4,6.3,Virgin Coconut Oil
coconut,1100000,4100,3,4.9,Coconut Milk
kithul,545000,2050,5,3.0,Kithul Flour
kithul,120000,1050,2,1.3,Kithul Treacle
coconut,1500000,7600,5,9.7,Desiccated Coconut
coconut,975000,12100,9,8.3,Desiccated Coconut
kithul,320000,2100,2,6.1,Kithul Flour
coconut,1115000,11300,9,7.0,Desiccated Coconut
coconut,360000,3000,2,1.3,Coconut Flour
kithul,385000,1600,4,3.3,Kithul Jaggery
coconut,1650000,3250,3,7.6,Virgin Coconut Oil
coconut,585000,2500,4,2.6,Coconut Flour
kithul,690000,700,3,1.6,Kithul Flour
kithul,320000,600,3,2.2,Kithul Treacle
coconut,325000,4350,4,4.7,Coconut Flour
coconut,95000,1600,2,3.0,Coconut Chips
palmyrah,415000,1050,3,5.3,Palmyrah Treacle
palmyrah,620000,1300,4,2.3,Palmyrah Sugar
coconut,160000,700,2,0.3,Coconut Chips
coconut,635000,1050,4,1.5,Coconut Flour
kithul,450000,400,3,2.3,Kithul Jaggery
palmyrah,425000,850,2,2.4,Palmyrah Treacle
palmyrah,490000,1500,2,4.5,Palmyrah Treacle
coconut,235000,1400,1,1.3,Coconut Chips
coconut,540000,3150,2,2.5,Coconut Flour
kithul,145000,800,3,2.4,Kithul Treacle
kithul,510000,1100,4,3.8,Kithul Flour
kithul,150000,950,3,6.1,Kithul Jaggery
kithul,560000,2500,2,2.8,Kithul Flour
kithul,90000,400,1,2.3,Kithul Treacle
coconut,230000,1950,3,0.6,Coconut Chips
coconut,1470000,5400,3,5.5,Virgin Coconut Oil
palmyrah,195000,1150,3,3.0,Palmyrah Jaggery
palmyrah,635000,1400,3,3.0,Palmyrah Sugar
palmyrah,515000,1350,4,2.4,Palmyrah Sugar
kithul,470000,2000,3,2.3,Kithul Jaggery
palmyrah,250000,2000,4,5.9,Palmyrah Sugar
palmyrah,85000,250,2,3.5,Palmyrah Jaggery
coconut,1425000,3700,7,1.6,Virgin Coconut Oil
palmyrah,120000,250,2,0.6,Palmyrah Jaggery
coconut,945000,5950,5,3.1,Virgin Coconut Oil
coconut,1120000,5350,2,3.6,Coconut Milk
kithul,610000,2750,5,3.4,Kithul Flour
coconut,990000,4600,4,3.0,Coconut Milk
kithul,175000,1050,4,3.8,Kithul Jaggery
coconut,350000,4500,4,3.0,Coconut Flour
palmyrah,315000,1300,2,1.1,Palmyrah Jaggery
palmyrah,160000,800,2,1.3,Palmyrah Jaggery
coconut,1030000,8000,4,9.2,Desiccated Coconut
coconut,485000,3100,2,4.7,Coconut Flour
palmyrah,265000,950,2,1.4,Palmyrah Sugar
coconut,1035000,2350,2,4.3,Coconut Milk
coconut,2750000,7800,9,5.5,Desiccated Coconut
palmyrah,105000,1350,2,0.5,Palmyrah Jaggery
coconut,355000,4700,2,2.1,Coconut Milk
kithul,720000,2650,2,5.8,Kithul Flour
kithul,755000,700,5,2.5,Kithul Flour
coconut,135000,1500,3,0.6,Coconut Chips
kithul,260000,700,3,0.8,Kithul Treacle
coconut,1200000,5250,2,5.6,Coconut Milk
kithul,335000,400,3,3.0,Kithul Jaggery
palmyrah,200000,2250,3,3.5,Palmyrah Sugar
palmyrah,90000,850,3,3.1,Palmyrah Jaggery
palmyrah,260000,400,3,1.5,Palmyrah Treacle
coconut,1185000,1950,5,4.6,Coconut Milk
coconut,3485000,10400,6,5.4,Desiccated Coconut
coconut,520000,2700,2,4.7,Coconut Flour
coconut,170000,1050,2,1.8,Coconut Chips
kithul,320000,750,3,3.5,Kithul Treacle
coconut,1765000,11050,10,7.4,Desiccated Coconut
coconut,2635000,13600,6,9.4,Desiccated Coconut
palmyrah,500000,2200,3,3.5,Palmyrah Sugar
palmyrah,215000,1000,3,4.1,Palmyrah Treacle
coconut,3445000,13600,7,2.2,Desiccated Coconut
coconut,275000,1700,3,0.4,Coconut Chips
coconut,235000,1050,2,1.1,Coconut Chips
coconut,400000,4150,3,1.3,Coconut Milk
palmyrah,200000,1350,3,2.7,Palmyrah Treacle
kithul,540000,1300,3,4.6,Kithul Jaggery
coconut,135000,1000,1,0.7,Coconut Chips
palmyrah,120000,200,3,0.6,Palmyrah Jaggery
coconut,730000,2500,3,6.3,Virgin Coconut Oil
palmyrah,280000,1500,3,6.5,Palmyrah Sugar
kithul,330000,950,3,2.7,Kithul Jaggery
palmyrah,320000,2050,4,5.0,Palmyrah Sugar
palmyrah,235000,1350,3,2.0,Palmyrah Treacle
coconut,1215000,5400,7,3.6,Virgin Coconut Oil
coconut,1070000,2250,5,3.4,Coconut Milk
kithul,100000,1150,1,3.4,Kithul Treacle
coconut,1030000,2000,3,2.0,Coconut Milk
palmyrah,225000,1250,1,3.9,Palmyrah Jaggery
palmyrah,420000,450,4,3.4,Palmyrah Treacle
palmyrah,80000,550,2,2.2,Palmyrah Jaggery
coconut,600000,5850,2,4.7,Coconut Milk
coconut,650000,3350,2,4.4,Coconut Milk
coconut,1590000,13000,11,4.8,Desiccated Coconut
